Row Labels,Glide,Pool,Riffle,Run,Max of Width_eq
0,1,,1,,18.5703
5,1,,1,,37.1949
10,1,,1,,37.1965
15,1,,1,,37.1989
20,1,,1,,37.2021
25,1,,1,,37.2043
30,1,,1,,37.2067
35,1,,1,,37.2086
40,2,,1,,37.2118
45,,,,,37.3303
50,,,,,37.4519
55,,,,,37.4013
60,,,,,37.693
65,,,,,37.8141
70,,,,,37.7355
75,,,,,38.0206
80,,,,,37.9767
85,,,,,37.9063
90,,,,,38.2176
95,,,,,38.1395
100,,,,,38.1916
105,,,,,38.3802
110,,,,,38.3013
115,,,,,38.423
120,,,,,38.3433
125,,,,,38.3538
130,,,,,38.3844
135,,,,,38.3023
140,,,,,38.2263
145,,,,,38.1992
150,,,,,38.0674
155,1,,,,38.173
160,1,,,,37.9085
165,1,,,,38.055
170,1,,,,37.7505
175,1,,,,38.0328
180,1,,,,37.9696
185,1,,,,38.4736
190,1,,,,39.2285
195,1,,,,39.4425
200,1,,,,39.8348
205,1,,,,40.3407
210,1,,1,,40.4174
215,1,,1,,40.4812
220,1,,1,,41.0066
225,1,,1,,41.8644
230,1,,1,,42.6287
235,1,,1,,43.8901
240,1,,1,,45.0575
245,1,,1,,46.3104
250,1,,1,,47.7975
255,1,,1,,49.2355
260,1,,1,,50.1955
265,1,,1,,50.8554
270,1,,1,,51.6025
275,1,,1,,52.2537
280,1,,1,,52.6399
285,1,,1,,52.8486
290,1,,1,,52.4305
295,1,,1,,51.6814
300,1,,1,,51.3063
305,2,,1,,52.3218
310,2,,1,,52.6861
315,3,,1,,53.3186
320,2,,1,,53.524
325,2,,1,,54.1317
330,2,,1,,54.385
335,1,,1,,54.5026
340,1,,1,,54.5367
345,2,,1,,54.666
350,4,,1,,54.4562
355,3,,1,1,54.0673
360,4,,1,1,54.5823
365,4,,1,1,55.2054
370,4,,1,1,55.8291
375,3,,1,1,56.4506
380,3,2,1,1,57.074
385,2,3,1,1,57.6959
390,1,1,,1,57.6987
395,1,1,,1,56.9371
400,1,2,1,1,56.1715
405,1,3,1,1,55.41
410,1,1,,1,54.6464
415,1,1,,1,53.8812
420,1,1,,1,53.5206
425,2,1,,1,53.5339
430,2,,1,1,53.4445
435,2,,1,1,53.6649
440,2,,1,1,53.5618
445,2,,1,1,53.4038
450,2,,1,1,53.6719
455,2,,1,1,53.5443
460,2,,1,1,53.3321
465,2,,,1,52.9185
470,2,,,1,52.5747
475,2,2,,1,52.5367
480,1,2,,1,52.5015
485,1,2,,1,52.4628
490,1,2,,1,52.4279
495,1,2,,1,52.3908
500,1,2,,1,52.3525
505,1,2,,1,52.3172
510,1,2,,1,52.2796
515,1,2,,1,52.244
520,1,2,,1,52.2061
525,1,2,,1,52.1697
530,1,2,,1,52.1326
535,1,2,,1,52.0965
540,1,2,,1,52.059
545,2,2,,1,52.0234
550,2,2,,1,51.9855
555,2,1,,1,51.9498
560,2,,,1,51.9112
565,2,,,1,51.8763
570,2,,,1,51.838
575,2,,,1,51.8173
580,2,,1,1,52.2065
585,2,,1,1,52.7818
590,2,,1,1,53.356
595,2,,1,1,53.3842
600,2,,1,1,52.9176
605,2,,1,1,52.4532
610,2,,1,1,51.987
615,1,,1,1,51.5208
620,1,,1,1,51.0571
625,2,,1,1,50.5906
630,2,,1,1,50.1251
635,2,,1,1,49.6599
640,2,,1,1,49.1937
645,2,,1,1,48.7293
650,2,,1,1,48.4576
655,2,,1,1,48.3846
660,2,,1,1,48.7026
665,2,,1,1,48.8245
670,2,,1,1,48.7477
675,2,,1,1,48.9865
680,2,,1,1,48.991
685,1,,,,111.306
690,1,,1,,80.6535
695,2,,1,1,50.8143
700,2,,1,2,50.7633
705,2,,1,1,50.9061
710,2,,1,,51.0788
715,2,,1,,51.1496
720,2,,1,,51.0976
725,2,,1,,51.3378
730,2,,1,,51.5357
735,2,,1,,51.4842
740,2,,1,,51.5843
745,2,,1,,51.7371
750,2,,1,,51.8729
755,2,,1,,51.8177
760,2,,1,,52.1301
765,2,,1,,52.2768
770,2,,1,,52.2106
775,2,,1,,52.3454
780,2,,1,,52.4846
785,3,,1,,53.0551
790,2,,1,,51.8973
795,1,,1,,49.8787
800,1,,1,,47.6776
805,1,,1,,45.7675
810,1,,1,,43.9805
815,1,,1,,42.1322
820,1,,1,,40.3915
825,1,,1,,39.2514
830,1,,1,,38.3101
835,1,,1,,37.6806
840,1,,1,,37.6347
845,1,,1,,37.5874
850,1,,1,,37.5418
855,1,,1,,37.4958
860,1,,1,,37.5068
865,1,,,,37.8405
870,1,,,,37.8726
875,1,,,,37.8061
880,1,,,,37.6394
885,1,,,,37.4719
890,1,,,,37.3035
895,1,,,,37.1381
900,1,,,,37.0798
905,1,,,,37.0331
910,1,,,,36.9865
915,1,,,,36.9411
920,1,,,,36.8939
925,1,,,,36.8482
930,1,,,,36.8025
935,1,,,,36.7554
940,1,1,,,36.71
945,1,1,,,36.6629
950,1,1,,,36.617
955,1,1,,,36.5713
960,1,1,,,36.524
965,1,1,,,36.4783
970,1,1,,,36.4323
975,1,1,,,36.3859
980,1,1,,,36.3396
985,1,1,,,36.2933
990,1,1,,,36.2476
995,1,1,,,36.2004
1000,1,1,,,36.1547
1005,1,1,,,36.109
1010,1,1,,,36.0619
1015,1,1,,,36.0162
1020,1,1,,,35.9697
1025,1,1,,,35.9235
1030,1,1,,,35.8778
1035,,1,,,35.8307
1040,,1,,,35.7844
1045,,1,,,35.739
1050,,1,,,35.6923
1055,,1,,,35.6456
1060,,1,,,35.6004
1065,,1,,,35.5536
1070,,1,,,35.5079
1075,,1,,,35.4607
1080,,1,,,35.415
1085,,1,,,35.3685
1090,,1,,,35.323
1095,,1,,,35.2763
1100,,1,,,35.2303
1105,,1,,,35.1838
1110,,1,,,35.1371
1115,,1,,,35.0919
1120,,1,,,35.0452
1125,,1,,,34.9987
1130,,1,,,34.9532
1135,,1,,,34.9065
1140,,1,,,34.86
1145,,1,,,34.814
1150,,1,,,34.7683
1155,,1,,,20.6495
