Stn,Glide,Pool,Riffle,Run
0,185.61,,14.3902,
5,61.3384,,138.661,
10,27.6941,,172.306,
15,18.5967,,181.403,
20,15.6576,,184.343,
25,16.2976,,183.702,
30,16.3326,,183.667,
35,15.4894,,184.51,0.000377076
40,16.0829,,144.686,39.2306
45,15.0179,,98.1662,86.8156
50,14.9694,,65.8983,119.132
55,48.4498,,17.3659,134.185
60,100.45563,11.048,,88.496
65,111.661,16.59021,,71.7497
70,95.4286,42.939,,61.6318
75,75.0801,72.8374,,52.0827
80,59.0615,92.1491,,48.7896
85,46.6336,110.0593,,43.3064
90,38.2294,118.823,,42.9478
95,34.5486,124.5074,,40.9439
100,32.6149,126.4401,,40.9455
105,36.8501,120.2982,,42.8523
110,43.1924,112.0467,,44.7607
115,51.7207,98.1206,,50.1585
120,62.2593,89.5374,,48.2044
125,73.1287,76.416,,50.4541
130,83.5136,66.5725,,49.9139
135,92.3424,59.5106,,48.1472
140,98.8254,52.9934,,48.1824
145,105.365,48.8241,,45.8096
150,109.819,47.0497,,43.1324
155,118.341,41.7991,,39.8596
160,130.939,27.78625,,41.2747
165,135.685,22.2327,,42.0825
170,150.387,6.41497,,43.1964
175,151.653,,,48.3485
180,148.593,,,51.4061
185,160.667,,,39.333
190,165.455,,,34.5464
195,191.122,,,8.87705
200,200,,,
205,186.779,,13.2208,
210,159.617,,40.3835,
215,145.818,,54.18209,
220,121.838,,78.1611,
225,109.689,,90.3104,
230,101.752,,98.249,
235,105.65,,94.3498,
240,109.036,,66.90696,
245,28.6438,,59.8531,
250,22.0386,,60.2144,
255,18.6522,,44.8833,
260,19.0166,,40.2492,
265,23.2527,,38.739,
270,16.5036,,36.2798,
275,13.1692,,39.7216,
280,10.6239,,43.3576,
285,4.85662,,44.5513,
290,8.50967,,36.7155,
295,3.7603,,35.8129,
300,2.92179,,36.635,
305,5.86378,,39.5062,
310,5.353871,,41.1137,
315,2.74442,,42.2998,
320,14.2606,,38.7259,
325,26.1243,,32.2364,
330,37.85449,,27.6175,
335,46.74865,,26.0765,
340,49.27025,,26.1266,
345,48.64399,,26.0838,
350,48.73412,,25.5039,
355,43.9134,,26.5285,
360,40.11422,,27.5438,
365,37.63847,,30.7544,
370,28.88732,,38.6793,
375,15.08056,,44.2677,
380,22.67896,,42.1474,
385,22.6006,,42.1446,
390,23.38332,,42.4405,
395,20.68992,,44.8374,
400,13.29983,,49.4467,
405,4.27155,,49.8326,
410,7.14039,,47.7961,
415,10.0182,,45.2934,
420,11.856602,,42.3626,
425,11.99861,,43.4853,
430,6.51232,,43.3658,
435,0.797753,,44.2102,
440,,,44.4228,
445,,,44.6908,
450,,,48.5541,
455,4.78416,,50.7782,
460,9.34389,,48.4125,
465,13.97574,,45.535,
470,12.88762,,46.2223,
475,10.55659,,50.4088,
480,13.93666,,55.6182,
485,11.00778,,58.5831,
490,12.34542,,58.6427,
495,11.25471,,59.1295,
500,12.94523,,58.78,
505,14.0297,,57.6812,
510,22.30619,,50.7722,
515,27.06235,,47.3518,
520,31.87994,,43.8471,
525,44.20155,,39.791,
530,52.45038,,37.4547,
535,56.04181,,33.9286,
540,69.32639,,30.8135,
545,73.27534,,28.728,
550,76.77343,,27.6199,
555,87.2238,,24.2705,
560,96.4704,,25.5417,
565,100.5872,,26.5706,
570,101.17228,,24.4564,
575,110.258,,17.5197,
580,122.715,,1.11161,
585,114.883,,,
590,109.602,,,
595,94.2363,,,
600,72.3419,,,
605,43.763,,,
610,18.0777,,,
615,2.47355,,,
695,,,1.15895,
700,,,10.0659,
705,,,18.9861,
710,,,32.9346,
715,6.864323,,31.1189,
720,22.52712,,23.6863,
725,46.9946,,20.9856,
730,34.05154,,46.7041,
735,34.2247,,58.0482,
740,60.2664,3.69174,58.9323,
745,88.6217,17.8327,61.6348,
750,111.329,33.4496,55.2226,
755,106.024,49.1752,44.8013,
760,99.8699,64.1882,35.9405,
765,89.0346,83.2029,27.763,
770,85.2327,97.1271,17.6395,
775,85.0145,111.51,3.47636,
780,79.638,120.362,,
785,74.8367,125.163,,
790,75.7849,124.215,,
795,75.827,124.174,,
800,73.7051,126.295,,
805,70.0788,129.921,,
810,66.8408,133.159,,
815,62.6317,137.369,,
820,58.6919,141.307,,
825,52.5479,147.452,,
830,45.0003,154.985,,
835,34.6458,164.299,,
840,25.5458,174.455,,
845,12.7484,187.252,,
850,4.16462,195.835,,
855,0.217784,199.782,,
860,,200,,
865,,200,,
870,,200,,
875,,200,,
880,,200,,
885,,200,,
890,,200,,
895,,200,,
900,,200,,
905,,200,,
910,,200,,
915,,200,,
920,,200,,
925,,200,,
930,,200,,
935,,200,,
940,,200,,
945,,200,,
950,,200,,
955,,200,,
960,,200,,
965,,200,,
970,,200,,
975,,200,,
980,,200,,
985,,200,,
990,,200,,
995,,200,,
1000,,200,,
1005,,200,,
1010,,200,,
1015,,200,,
1020,,200,,
1025,,200,,
1030,,200,,
1035,,200,,
1040,,200,,
1045,,200,,
1050,,200,,
1055,,200,,
1060,,200,,
1065,,200,,
1070,,200,,
1075,,200,,
1080,,200,,
1085,,200,,
1090,,200,,
1095,,200,,
1100,,200,,
1105,,200,,
1110,,200,,
1115,,200,,
1120,,200,,
1125,,200,,
1130,,200,,
1135,,200,,
1140,,200,,
1145,,200,,
1150,,200,,
1155,,200,,
