Row Labels,NR,SR,XDR
0,,,
10,,,
15,,,
20,,,
25,,,
30,,,
35,,,
40,,24.009,
45,,69.3751,
50,,97.3567,
55,,125.025,
60,,105.389,
65,,72.2922,
70,,61.741,
75,,51.3448,
80,,47.5208,
85,,41.5223,
90,,41.4628,
95,,39.4559,
100,,38.9366,
105,,40.9039,
110,,42.483,
115,,47.1037,
120,,46.7838,
125,,48.2517,
130,,48.4366,
135,,45.7192,
140,,46.5066,
145,,44.2754,
150,,41.4793,
155,,38.4707,
160,,39.0034,
165,,39.822,
170,,40.4625,
175,,45.0181,
180,,48.8201,
185,,38.7268,
190,,34.5724,
195,,9.72934,
200,,,
205,,,
210,,,
215,,,
220,,,
225,,,
230,,,
235,,,
240,,,
245,,,
250,,,
255,,,
260,,,
265,,,
270,,,
275,,,
280,,,
285,,,
290,,,
295,,,
300,,,
305,,,
310,,,
315,,,
320,,,
325,,,
330,,,
335,,,
340,,,
345,,,
350,,,
355,,,
360,,,
365,,,
370,,19.9679,
375,,18.2037,
380,,17.747,
385,,21.3993,
390,,43.5126,
395,,64.5649,
400,,71.777,
405,,57.8493,
410,,49.7091,
415,,46.6746,
420,,49.512,
425,,49.5751,
430,,49.585,
435,,55.499,
440,,63.2843,
445,,68.808,
450,,63.1854,
455,,57.28,
460,,56.3636,
465,,61.9292,
470,,86.669,
475,,78.7439,
480,,68.7318,
485,,59.1788,
490,,52.9458,
495,,48.2927,
500,,45.033,
505,,43.5695,
510,,43.559,
515,,45.2723,
520,,47.6158,
525,,50.5939,
530,,54.5056,
535,,55.8629,
540,,56.6925,
545,,56.6483,
550,,56.7076,
555,,54.6294,
560,,,56.7274
565,,,58.2879
570,,,65.8886
575,,,76.2002
580,,,89.0435
585,,,103.186
590,,,69.8564
595,,,44.2972
600,,,24.1501
605,,,1.68339
610,,,1.35283
615,,,13.5222
620,,,20.692
625,,,23.8418
630,,,23.6752
635,,,21.2181
640,,,21.2683
645,,,21.2485
650,,,21.2743
655,,,21.2661
660,,,21.2892
665,,,21.5613
670,,,21.9517
675,,,20.2559
680,,,19.2765
685,,,17.6034
690,,,3.70272
695,,,
700,,,
705,,,
710,,,
715,,,
720,,,
725,,,
730,,,
735,,,
740,,,
745,,,
750,,,
755,,,
760,,,
765,,,
770,,,
775,,,
780,,,
785,,,
790,,,
795,,,
800,,,
805,,,
810,,,
815,,,
820,,,
825,,,
830,,,
835,,,
840,,,
845,,,10.8194
850,,,31.2671
855,,,29.3057
860,,,28.3153
865,,,29.3388
870,,,33.0876
875,,,36.2195
880,,,40.2375
885,,,11.4091
890,,,
895,,,
900,,,
905,,,
910,,,
915,,,
920,,,
925,,,
930,,,
935,,,
940,,,
945,,,
950,,,
955,,,
960,,,
965,,,
970,,,
975,,,
980,,,
985,,,
990,,,
995,,,
1000,,,
1005,,,
1010,,,
1015,,,
1020,,,
1025,,,
1030,,,
1035,,,
1040,,,
1045,,,
1050,,,
1055,,,
1060,,,
1065,,,
1070,,,
1075,,,
1080,,,
1085,,,
1090,,,
1095,,,
1100,,,
1105,,,
1110,,,
1115,,,
1120,,,
1125,,,
1130,,,
1135,,,
1140,,,
1145,,,
